Quantity,Name,Code,PurchasePrice,Foil,Condition,Language,PurchaseDate
1,"Academy Ruins",TSP,17.0,0,0,0,24/3/2019
1,"Accomplished Automaton",KLD,0.12,0,0,3,2/12/2017
1,"Acrobatic Maneuver",KLD,0.13,0,0,3,13/12/2017
4,"Admiral's Order",RIX,0.65,0,0,0,5/4/2018
1,"Aegis Automaton",AER,0.12,0,0,0,2/12/2017
2,"Aegis Automaton",AER,0.12,0,0,3,13/1/2018
1,"Aerial Responder",KLD,0.23,0,0,0,30/11/2017
2,"Aerial Responder",KLD,0.23,0,0,3,13/12/2017
1,"Aeronaut Admiral",AER,0.21,0,0,0,2/12/2017
2,"Aether Chaser",AER,0.15,0,0,0,2/12/2017
1,"Aether Chaser",AER,0.15,0,0,3,25/12/2017
1,"Aether Herder",AER,0.13,0,0,0,2/12/2017
2,"Aether Hub",KLD,0.39,0,0,0,31/5/2018
1,"Aether Hub",KLD,1.85,0,0,0,30/11/2017
1,"Aether Hub",KLD,6.0,1,0,0,15/2/2018
1,"Aether Hub",KLD,1.16,1,0,3,15/4/2018
2,"Aether Inspector",AER,0.12,0,0,0,2/12/2017
1,"Aether Meltdown",KLD,0.22,0,0,3,13/12/2017
1,"Aether Poisoner",AER,0.14,0,0,0,2/12/2017
2,"Aether Swooper",AER,0.14,0,0,0,2/12/2017
2,"Aether Theorist",KLD,0.12,0,0,0,30/11/2017
2,"Aether Tradewinds",KLD,0.12,0,0,3,13/12/2017
1,"Aetherborn Marauder",KLD,0.2,0,0,3,2/12/2017
1,"Aethergeode Miner",AER,0.34,0,0,0,2/12/2017
1,"Aethersquall Ancient",KLD,0.08,0,0,0,3/8/2018
1,"Aetherstorm Roc",KLD,0.29,0,0,3,2/12/2017
1,"Aetherstream Leopard",AER,0.13,0,0,0,2/12/2017
1,"Ahn-Crop Crasher",AKH,0.32,0,0,3,2/12/2017
1,"Air Elemental",W17,0.29,0,0,3,2/12/2017
1,"Airdrop Aeronauts",AER,0.16,1,0,3,25/1/2018
1,"Ajani Unyielding",AER,2.99,0,0,0,2/12/2017
1,"All Is Dust",UMA,5.01,0,0,0,19/3/2019
1,"Alley Evasion",AER,0.13,0,0,0,2/12/2017
1,"Alley Evasion",AER,0.13,0,0,3,2/12/2017
1,"Alley Evasion",AER,0.14,0,0,3,13/1/2018
2,"Alley Strangler",AER,0.13,0,0,0,2/12/2017
1,"Alley Strangler",AER,0.08,1,0,3,17/6/2018
1,"Ancient Crab",AKH,0.13,0,0,3,2/12/2017
1,"Angel of the Dawn",M19,0.05,0,1,4,19/3/2019
2,"Angler Drake",AKH,0.2,0,0,3,2/12/2017
1,"Animating Faerie // Bring to Life",PELD,0.12,0,0,0,25/12/2019
4,"Animation Module",KLD,0.25,0,0,0,25/2/2018
1,"Appetite for the Unnatural",KLD,0.14,0,0,0,30/11/2017
1,"Aradara Express",KLD,0.12,0,0,3,4/1/2018
1,"Arborback Stomper",KLD,0.19,0,0,0,30/11/2017
1,"Arborback Stomper",KLD,0.19,0,0,3,2/12/2017
1,"Argivian Restoration",WTH,0.22,0,0,0,3/8/2018
1,"Attune with Aether",KLD,0.24,0,0,0,28/12/2017
2,"Audacious Infiltrator",AER,0.13,0,0,0,2/12/2017
2,"Augmenting Automaton",AER,0.13,0,0,0,2/12/2017
1,"Aviary Mechanic",KLD,0.12,0,0,3,2/12/2017
1,"Baleful Ammit",AKH,0.23,0,0,3,2/12/2017
3,"Ballista Charger",KLD,0.07,0,0,3,15/2/2018
1,"Ballista Charger",KLD,0.35,1,0,0,30/11/2017
3,"Banefire",M19,3.32,0,0,0,14/12/2018
1,"Banefire",MM2,3.17,0,0,0,14/12/2018
1,"Baral's Expertise",AER,0.0,1,0,0,5/4/2018
2,"Baral, Chief of Compliance",AER,4.5,0,0,0,2/12/2017
1,"Barricade Breaker",AER,0.23,0,0,3,15/4/2018
1,"Bastion Enforcer",AER,0.1,0,0,0,2/12/2017
1,"Bastion Enforcer",AER,0.11,0,0,3,13/1/2018
2,"Bastion Inventor",AER,0.13,0,0,0,2/12/2017
1,"Bastion Inventor",AER,0.13,0,0,3,2/12/2017
1,"Bastion Mastodon",KLD,0.03,0,0,0,7/3/2019
1,"Bastion Mastodon",KLD,0.11,0,0,3,4/1/2018
3,"Beacon Bolt",GRN,0.13,0,0,3,11/12/2018
1,"Befuddle",DOM,0.14,1,0,3,22/4/2018
1,"Bitterblade Warrior",AKH,0.13,0,0,3,2/12/2017
1,"Bloodhunter Bat",W17,0.29,0,0,3,2/12/2017
1,"Bloodlust Inciter",AKH,0.12,0,0,3,2/12/2017
1,"Blossoming Defense",KLD,1.54,0,0,3,2/12/2017
2,"Bomat Courier",KLD,0.54,0,0,3,25/3/2018
1,"Botanical Sanctum",KLD,5.37,0,0,3,29/4/2018
1,"Brazen Scourge",KLD,0.2,0,0,3,2/12/2017
2,"Built to Last",KLD,0.11,0,0,0,28/12/2017
1,"Built to Last",KLD,0.11,0,0,3,2/12/2017
1,"Bulwark Giant",WAR,0.09,1,0,0,25/12/2019
1,"Cartouche of Ambition",AKH,0.13,0,0,3,2/12/2017
1,"Cartouche of Knowledge",AKH,0.14,0,0,3,2/12/2017
2,"Cartouche of Solidarity",AKH,0.15,0,0,3,2/12/2017
2,"Cartouche of Strength",AKH,0.14,0,0,3,2/12/2017
2,"Cartouche of Zeal",AKH,0.15,0,0,3,2/12/2017
1,"Cascade Bluffs",A25,5.78,0,0,6,27/4/2019
1,"Cataclysmic Gearhulk",KLD,1.4,0,0,0,30/11/2017
1,"Cathartic Reunion",KLD,0.16,0,0,0,30/11/2017
1,"Cathartic Reunion",KLD,0.15,0,0,3,13/12/2017
1,"Cathartic Reunion",KLD,0.16,0,0,3,2/12/2017
2,"Caught in the Brights",AER,0.13,0,0,0,2/12/2017
1,"Censor",AKH,1.5,0,0,3,2/12/2017
2,"Champion of the Flame",DOM,0.12,0,0,3,24/6/2018
1,"Chandra's Ignition",ORI,0.37,0,0,3,7/3/2019
1,"Chandra's Pyrohelix",KLD,0.13,0,0,0,30/11/2017
1,"Chandra's Pyrohelix",KLD,0.14,0,0,0,28/12/2017
1,"Chandra's Pyrohelix",KLD,0.13,0,0,3,2/12/2017
1,"Chandra's Revolution",AER,0.12,0,0,0,2/12/2017
1,"Chandra's Revolution",AER,0.12,0,0,3,2/12/2017
1,"Chandra's Revolution",AER,0.14,0,0,3,13/1/2018
2,"Chemister's Insight",GRN,0.34,0,0,3,11/12/2018
1,"Chief of the Foundry",KLD,0.19,0,0,0,30/11/2017
1,"Chief of the Foundry",KLD,0.07,0,0,3,15/2/2018
1,"Chief of the Foundry",KLD,0.18,0,0,3,13/12/2017
1,"Chief of the Foundry",KLD,0.49,1,0,0,30/11/2017
1,"Child of Night",M19,0.03,0,0,0,14/9/2018
2,"Cinder Barrens",AKH,0.11,0,0,3,2/12/2017
1,"Clash of Wills",ORI,0.16,0,0,0,22/8/2018
